id,city_name,district,state
445,Dharmapuri,Dharmapuri,Tamil Nadu
446,Dindigul,Dindigul,Tamil Nadu
447,Kodaikanal,Dindigul,Tamil Nadu
448,Erode,Erode,Tamil Nadu
449,Kancheepuram,Kancheepuram,Tamil Nadu
450,Kanniyakumari,Kanniyakumari,Tamil Nadu
451,Kanyakumari,Kanyakumari,Tamil Nadu
452,Karur,Karur,Tamil Nadu
453,Kerala,Kerala,Tamil Nadu
454,Krishnagiri,Krishnagiri,Tamil Nadu
455,Madurai,Madurai,Tamil Nadu
456,Rameswaram,Madurai,Tamil Nadu
457,Mayiladuthurai,Mayiladuthurai,Tamil Nadu
458,Nagapattinam,Nagapattinam,Tamil Nadu
459,Namakkal,Namakkal,Tamil Nadu
460,Nilgiri Mountain Railway,Nilgiri Mountain Railway,Tamil Nadu
461,Nilgiris,Nilgiris,Tamil Nadu
462,Perambalur,Perambalur,Tamil Nadu
463,Pudukkottai,Pudukkottai,Tamil Nadu
464,Pudukottai,Pudukottai,Tamil Nadu
465,Ramanathapuram,Ramanathapuram,Tamil Nadu
466,Rameswaram,Ramanathapuram,Tamil Nadu
467,Ranipet,Ranipet,Tamil Nadu
468,Salem,Salem,Tamil Nadu
469,Sivaganga,Sivaganga,Tamil Nadu
470,Tenkasi,Tenkasi,Tamil Nadu
471,Thanjavur,Thanjavur,Tamil Nadu
472,Theni,Theni,Tamil Nadu
473,Thoothukudi,Thoothukudi,Tamil Nadu
474,Tirunelveli,Tirunelveli,Tamil Nadu
475,Tirupathur,Tirupathur,Tamil Nadu
476,Tiruppur,Tiruppur,Tamil Nadu
477,Tiruvannamalai,Tiruvannamalai,Tamil Nadu
478,Tiruvarur,Tiruvarur,Tamil Nadu
479,Vellore,Vellore,Tamil Nadu
480,Viluppuram,Viluppuram,Tamil Nadu
481,Virudhunagar,Virudhunagar,Tamil Nadu
482,Adilabad,Adilabad,Telangana
483,Bhadradri Kothagudem,Bhadradri Kothagudem,Telangana
484,Hanamkonda,Hanamkonda,Telangana
485,Hyderabad,Hyderabad,Telangana
486,Jagtial,Jagtial,Telangana
487,Jangaon,Jangaon,Telangana
488,Jogulamba Gadwal,Jogulamba Gadwal,Telangana
489,Kamareddy,Kamareddy,Telangana
490,Karimnagar,Karimnagar,Telangana
491,Khammam,Khammam,Telangana
492,Komaram Bheem Asifabad,Komaram Bheem Asifabad,Telangana
493,Mahabubabad,Mahabubabad,Telangana
494,Mahbubnagar,Mahbubnagar,Telangana
495,Mancherial,Mancherial,Telangana
496,Medak,Medak,Telangana
497,Medchal-Malkajgiri,Medchal-Malkajgiri,Telangana
498,Mulugu,Mulugu,Telangana
499,Nagarjuna Sagar,Nagarjuna Sagar,Telangana
500,Nagarkurnool,Nagarkurnool,Telangana
501,Nalgonda,Nalgonda,Telangana
502,Narayanpet,Narayanpet,Telangana
503,Nirmal,Nirmal,Telangana
504,Nizamabad,Nizamabad,Telangana
505,Rajanna Sircilla,Rajanna Sircilla,Telangana
506,Rangareddy,Rangareddy,Telangana
507,Sangareddy,Sangareddy,Telangana
508,Siddipet,Siddipet,Telangana
509,Suryapet,Suryapet,Telangana
510,Vikarabad,Vikarabad,Telangana
511,Wanaparthy,Wanaparthy,Telangana
512,Warangal,Warangal,Telangana
513,Yadadri Bhuvanagiri,Yadadri Bhuvanagiri,Telangana
514,Dhalai,Dhalai,Tripura
515,Dumbur,Dumbur,Tripura
516,Gomati,Gomati,Tripura
517,Headquarters Of The Tripura Tribal Areas Autonomous,Headquarters Of The Tripura Tribal Areas Autonomous,Tripura
518,Khowai,Khowai,Tripura
519,Melaghar,Melaghar,Tripura
520,North Tripura,North Tripura,Tripura
521,Sepahijala,Sepahijala,Tripura
522,Sepahijala Wildlife Sanctuary Zoo District. Families,Sepahijala Wildlife Sanctuary Zoo District. Families,Tripura
523,South Tripura,South Tripura,Tripura
524,Unakoti,Unakoti,Tripura
525,Agartala,West Tripura,Tripura
526,West Tripura,West Tripura,Tripura
527,Agra,Agra,Uttar Pradesh
528,Ayodhya,Ayodhya,Uttar Pradesh
529,Barsana,Barsana,Uttar Pradesh
530,Chitrakoot,Chitrakoot,Uttar Pradesh
531,Farrukhabad,Farrukhabad,Uttar Pradesh
